LogMonth,Namespace,Freq
201010,13,3
201010,14,203
201010,15,6
201010,100,36
201010,101,11
201010,108,1
201010,109,2
201009,-1,55
201009,0,168392
201009,1,1326
201009,2,1068
201009,3,2731
201009,4,289
201009,5,95
201009,6,365
201009,7,50
201009,8,6
201009,10,62
201009,11,2
201009,12,11
201009,13,6
201009,14,167
201009,15,5
201009,100,56
201009,101,20
201008,-1,33
201008,0,132660
201008,1,1080
201008,2,788
201008,3,2565
201008,4,235
201008,5,113
201008,6,462
201008,7,32
201008,10,62
201008,11,13
201008,12,7
201008,13,3
201008,14,205
201008,15,5
201008,100,57
201008,101,3
201007,-1,17
201007,0,122741
201007,1,1159
201007,2,467
201007,3,2447
201007,4,251
201007,5,114
201007,6,307
201007,7,30
201007,9,2
201007,10,75
201007,11,13
201007,12,3
201007,14,16
201007,15,10
201007,100,28
201007,101,5
201007,109,2
201006,-1,33
201006,0,140472
201006,1,1600
201006,2,566
201006,3,2329
201006,4,360
201006,5,205
201006,6,328
201006,7,34
201006,8,2
201006,10,78
201006,11,15
201006,12,12
201006,13,1
201006,14,37
201006,15,25
201006,100,58
201006,101,8
201006,108,1
201005,-1,111
201005,0,196709
201005,1,3100
201005,2,536
201005,3,4785
201005,4,559
201005,5,171
201005,6,453
201005,7,87
201005,10,118
201005,11,14
201005,12,9
201005,13,6
201005,14,41
201005,15,21
201005,100,94
201005,101,8
201004,-1,88
201004,0,186257
201004,1,3810
201004,2,429
201004,3,5332
201004,4,411
201004,5,194
201004,6,466
201004,7,110
201004,8,3
201004,9,2
201004,10,81
201004,11,15
201004,12,5
201004,13,8
201004,14,38
201004,15,17
201004,100,108
201004,101,6
201004,108,1
201003,-1,129
201003,0,206902
201003,1,4467
201003,2,592
201003,3,3403
201003,4,374
201003,5,190
201003,6,545
201003,7,90
201003,9,3
201003,10,165
201003,11,12
201003,12,9
201003,13,6
201003,14,58
201003,15,8
201003,100,129
201003,101,10
201002,-1,219
201002,0,197543
201002,1,4262
201002,2,339
201002,3,2419
201002,4,497
201002,5,149
201002,6,468
201002,7,84
201002,9,2
201002,10,184
201002,11,21
201002,12,15
201002,13,14
201002,14,56
201002,15,18
201002,100,79
201002,101,11
201001,-1,197
201001,0,184540
201001,1,3517
201001,2,310
201001,3,3530
201001,4,371
201001,5,146
201001,6,455
201001,7,68
201001,9,2
201001,10,99
201001,11,9
201001,12,5
201001,13,7
201001,14,32
201001,15,21
201001,100,48
201001,101,19
200912,-1,175
200912,0,155105
200912,1,2559
200912,2,454
200912,3,7064
200912,4,332
200912,5,141
200912,6,398
200912,7,37
200912,10,127
200912,11,6
200912,12,17
200912,13,3
200912,14,39
200912,15,17
200912,100,24
200912,101,8
200911,-1,150
200911,0,197009
200911,1,3054
200911,2,529
200911,3,8164
200911,4,408
200911,5,181
200911,6,386
200911,7,61
200911,10,155
200911,11,13
200911,12,14
200911,13,3
200911,14,32
200911,15,13
200911,100,41
200911,101,14
200910,-1,145
200910,0,217194
200910,1,3848
200910,2,847
200910,3,3160
200910,4,392
200910,5,237
200910,6,578
200910,7,112
200910,10,166
200910,11,30
200910,12,6
200910,13,19
200910,14,56
200910,15,15
200910,100,46
200910,101,14
200909,-1,35
200909,0,204873
200909,1,3444
200909,2,789
200909,3,2436
200909,4,405
200909,5,180
200909,6,612
200909,7,98
200909,9,1
200909,10,170
200909,11,31
200909,12,12
200909,13,7
200909,14,27
200909,15,14
200909,100,53
200909,101,21
200908,-1,95
200908,0,153210
200908,1,2768
200908,2,1079
200908,3,3258
200908,4,783
200908,5,225
200908,6,486
200908,7,58
200908,8,1
200908,9,4
200908,10,139
200908,11,41
200908,12,6
200908,13,9
200908,14,52
200908,15,11
200908,100,52
200908,101,4
200907,-1,124
200907,0,153371
200907,1,2290
200907,2,1157
200907,3,2367
200907,4,601
200907,5,192
200907,6,565
200907,7,85
200907,10,133
200907,11,9
200907,12,4
200907,13,16
200907,14,30
200907,15,15
200907,100,25
200907,101,9
200906,-1,141
200906,0,168961
200906,1,3219
200906,2,1448
200906,3,2659
200906,4,750
200906,5,365
200906,6,939
200906,7,98
200906,8,2
200906,9,3
200906,10,318
200906,11,69
200906,12,31
200906,13,16
200906,14,64
200906,15,20
200906,100,50
200906,101,23
200905,-1,156
200905,0,200002
200905,1,4150
200905,2,1680
200905,3,2557
200905,4,731
200905,5,296
200905,6,1325
200905,7,152
200905,9,3
200905,10,554
200905,11,35
200905,12,23
200905,13,5
200905,14,94
200905,15,24
200905,100,58
200905,101,34
200904,-1,24
200904,0,167947
200904,1,3158
200904,2,1960
200904,3,2228
200904,4,568
200904,5,183
200904,6,2186
200904,7,86
200904,9,5
200904,10,636
200904,11,25
200904,12,6
200904,13,11
200904,14,61
200904,15,16
200904,100,22
200904,101,30
200903,-1,418
200903,0,91967
200903,1,1599
200903,2,1986
200903,3,1510
200903,4,326
200903,5,107
200903,6,834
200903,7,47
200903,10,110
200903,11,10
200903,12,11
200903,13,5
200903,14,37
200903,15,10
200903,100,15
200903,101,16
